id_cliente,codigo_cliente,tipo_documento,num_documento,nombres,apellidos,correo,telefono,distrito,segmento,fecha_registro,numero_linea
91,C0091,DNI,70074588,Carmen,Flores Cornejo,carmen91@correo.com,,San Juan de Lurigancho,Hogar,2026-03-09,990494831
92,C0092,DNI,53871989,Lucía,Rivera Bautista,lucía92@correo.com,995325984,Callao,Empresa,2026-03-25,921435855
93,C0093,DNI,445344,Pamela,Palomino Salazar,pamela93@correo.com,,Villa El Salvador,Prepago,2026-01-09,994610683
94,C0094,DNI,20033511,Pamela,Rojas Díaz,pamela94@correo.com,945043641,Rímac,Postpago,2026-03-23,940285611
95,C0095,DNI,77404670,Rosa,Flores Gutiérrez,rosa95correo.com,959672198,Lince,Hogar,2026-05-25,989984413
96,C0096,DNI,73771181,Sofía,Sánchez Ninaquispe,sofía96correo.com,953330303,San Miguel,Empresa,2026-05-19,970961778
97,C0097,CE,49240376,Milagros,Palomino Cárdenas,,915581853,San Miguel,Prepago,2026-05-23,991788005
98,C0098,RUC,62481847,Luis,Rivera Rojas,luis98@correo.com,935719536,Los Olivos,Postpago,2026-05-20,922940565
99,C0099,CE,52178148,Hugo,Chávez Rojas,hugo99@correo.com,985000049,Breña,Hogar,2026-02-13,943131111
100,C0100,DNI,40289522,Manuel,Lévano Díaz,manuel100@correo.com,992503323,Los Olivos,Empresa,2026-02-08,922097595
101,C0101,DNI,67581556,Claudia,Ríos Zevallos,claudia101@correo.com,980332581,Breña,Prepago,2026-01-18,977421451
102,C0102,DNI,52924515,Óscar,Sánchez Sánchez,óscar102@correo.com,957224398,Surco,Postpago,2026-01-01,984863967
103,C0103,DNI,53546714,Miguel,Ramos Paredes,miguel103@correo.com,987477519,,Hogar,2026-03-17,947335687
104,C0104,DNI,88377365,Carlos,Castillo Ponce,carlos104@correo.com,920805239,Breña,Empresa,2026-03-16,932940167
105,C0105,DNI,19089578,Paola,Castillo Cruz,paola105@correo.com,976497373,Lince,Prepago,2026-05-20,948848031
106,C0106,DNI,11095362,Pedro,Cornejo Bautista,,970725171,Villa El Salvador,Postpago,2026-05-21,929438347
107,C0107,DNI,30835874,Diego,Bautista Flores,diego107@correo.com,965829623,Independencia,Hogar,2026-02-13,963419518
108,C0108,RUC,42188603,Melissa,Zevallos Ponce,,995123966,Chorrillos,Empresa,2026-05-10,959054390
109,C0109,DNI,26219449,Raúl,Bautista Huamán,raúl109@correo.com,934450059,San Borja,Prepago,2026-02-19,961269969
110,C0110,CE,76831133,Rosa,Cruz Aguirre,rosa110@correo.com,927564768,La Molina,Postpago,2026-02-14,985701811
111,C0111,CE,89724063,Pedro,Espinoza Cárdenas,pedro111@correo.com,928177430,Villa El Salvador,Hogar,2026-01-16,992384043
112,C0112,DNI,83755285,Claudia,Espinoza Mendoza,claudia112@correo.com,914702833,Comas,Empresa,2026-04-13,994213516
113,C0113,DNI,64918737,Jorge,Díaz Villanueva,jorge113@correo.com,975009205,La Molina,Prepago,2026-03-08,923305054
114,C0114,CE,32454327,Sergio,Cornejo Cárdenas,sergio114@correo.com,922918979,Callao,Postpago,2026-05-17,919152548
115,C0115,DNI,10687575,Fernando,Ramos Torres,fernando115@correo.com,911259981,San Borja,Hogar,2026-03-11,915925281
116,C0116,RUC,14868151,Óscar,Romero Paredes,óscar116@correo.com,,La Molina,Empresa,2026-04-18,984190809
117,C0117,DNI,11806887,Julia,Lévano Torres,julia117@correo.com,941368101,San Borja,Prepago,2026-05-15,923383630
118,C0118,RUC,61274232,Rosa,Bautista Ponce,rosa118@correo.com,986088479,Rímac,Postpago,2026-02-08,950743150
119,C0119,CE,99241883,Karla,Palomino Ponce,karla119@correo.com,938663842,Independencia,Hogar,2026-01-04,911622207
120,C0120,CE,58304234,Karla,Quispe Ninaquispe,karla120@correo.com,976129378,Breña,Empresa,2026-05-28,932990519
121,C0121,CE,89357700,Pamela,Romero Ríos,pamela121@correo.com,947170539,La Molina,Prepago,2026-03-21,936943827
122,C0122,RUC,47945870,Iván,Aguirre Flores,iván122@correo.com,987790776,Surco,Postpago,2026-02-09,974507776
123,C0123,RUC,29131544,Isabel,Torres Castillo,isabel123@correo.com,920464841,,Hogar,2026-01-11,915283511
124,C0124,DNI,23447888,Natalia,Romero Vargas,natalia124@correo.com,933345941,Lince,Empresa,2026-03-08,924345061
125,C0125,CE,22502784,Rosa,Cruz Espinoza,rosa125@correo.com,919669885,Rímac,Prepago,2026-03-10,943531517
126,C0126,DNI,93772705,Daniela,Quispe Chávez,daniela126@correo.com,930261089,San Borja,Postpago,2026-05-02,950869987
127,C0127,DNI,28435440,Melissa,Espinoza Torres,,973686670,Callao,Hogar,2026-03-01,961295184
128,C0128,RUC,39190030,Lucía,Vargas Díaz,lucía128@correo.com,970995677,San Miguel,Empresa,2026-01-23,915401464
129,C0129,RUC,85020285,Daniela,Rojas Bautista,daniela129@correo.com,914777660,Miraflores,Prepago,2026-03-07,974803838
130,C0130,CE,59702091,Manuel,Mendoza Paredes,manuel130@correo.com,951082156,Independencia,Postpago,2026-02-25,943963856
131,C0131,DNI,87277787,Víctor,Paredes Sánchez,víctor131@correo.com,963235641,Breña,Hogar,2026-05-27,971045737
132,C0132,RUC,20829723,Sofía,Chávez Díaz,sofía132@correo.com,929167444,San Miguel,Empresa,2026-01-18,921793622
133,C0133,DNI,74122830,Isabel,Vargas Cornejo,isabel133@correo.com,984106978,Ate,Prepago,2026-02-12,933756475
134,C0134,CE,96267971,Carmen,Lévano Huamán,carmen134correo.com,946418672,Comas,Postpago,2026-05-24,982863205
135,C0135,RUC,36202414,Pedro,Salazar Paredes,pedro135@correo.com,951671455,Villa El Salvador,Hogar,2026-04-07,940302674
136,C0136,CE,53857766,Raúl,Sánchez Flores,,967117143,Rímac,Empresa,2026-02-03,911876048
137,C0137,DNI,62460686,Álvaro,Ninaquispe Vargas,álvaro137@correo.com,924934547,Villa El Salvador,Prepago,2026-05-27,920268391
138,C0138,CE,49827201,José,Sánchez Díaz,josé138@correo.com,970189519,Ate,Postpago,2026-03-15,991888804
139,C0139,DNI,31355360,Karla,Vargas Huamán,karla139@correo.com,967477283,Independencia,Hogar,2026-02-21,939161864
140,C0140,CE,78179152,Melissa,Paredes Bautista,melissa140@correo.com,921633844,,Empresa,2026-02-13,928664013
141,C0141,CE,10974486,Karla,Villanueva Huamán,karla141@correo.com,,La Molina,Prepago,2026-01-10,947998096
142,C0142,RUC,15093471,Pamela,Mendoza Romero,pamela142@correo.com,942292375,Villa El Salvador,Postpago,2026-02-12,941401745
143,C0143,DNI,13177780,Fernando,Díaz Cárdenas,fernando143@correo.com,974253315,Villa El Salvador,Hogar,2026-03-15,937491157
144,C0144,DNI,16332418,Julia,Salazar Rivera,julia144@correo.com,975431693,Comas,Empresa,2026-01-09,922151425
145,C0145,DNI,80329674,Melissa,Cornejo Espinoza,melissa145@correo.com,968484003,Miraflores,Prepago,2026-05-03,955802317
146,C0146,RUC,15442416,Natalia,Lévano Torres,natalia146correo.com,912275000,Miraflores,Postpago,2026-03-07,985268922
147,C0147,DNI,74742347,Pedro,Gutiérrez Díaz,pedro147@correo.com,916443898,San Miguel,Hogar,2026-04-12,993392958
148,C0148,DNI,18853336,Verónica,Ramos Quispe,verónica148@correo.com,911950057,San Borja,Empresa,2026-03-02,915064171
149,C0149,DNI,29921875,Elena,Sánchez Ríos,elena149@correo.com,986671781,Ate,Prepago,2026-02-28,966559720
150,C0150,DNI,875107,Sergio,Sánchez Villanueva,sergio150@correo.com,941688684,,Postpago,2026-05-07,987163178
151,C0151,DNI,41353419,Claudia,Ramos Flores,claudia151@correo.com,,Ate,Hogar,2026-04-16,984756141
152,C0152,DNI,29012667,Andrés,Romero Sánchez,andrés152@correo.com,982160907,Miraflores,Empresa,2026-05-23,977179955
153,C0153,DNI,820645,Paola,Zevallos Sánchez,paola153@correo.com,999589531,Chorrillos,Prepago,2026-04-02,980920659
154,C0154,CE,46114132,Ricardo,Castillo Quispe,ricardo154@correo.com,948386848,Los Olivos,Postpago,2026-03-28,984735253
155,C0155,CE,32847148,Ana,Rivera Salazar,ana155@correo.com,921663051,San Miguel,Hogar,2026-04-22,924228508
156,C0156,RUC,18485794,Diego,Rivera Lévano,diego156@correo.com,947431118,Surco,Empresa,2026-03-09,965739618
157,C0157,DNI,33943976,Ricardo,Romero Gutiérrez,ricardo157@correo.com,926592210,Breña,Prepago,2026-05-28,920707645
158,C0158,DNI,78474286,Elena,Bautista Lévano,,973251878,Villa El Salvador,Postpago,2026-02-10,912301287
159,C0159,DNI,11328414,Elena,Ramos Torres,elena159@correo.com,990426176,Surco,Hogar,2026-02-01,937025324
160,C0160,CE,72479320,Carmen,Villanueva Mendoza,carmen160@correo.com,,Independencia,Empresa,2026-02-10,983719241
161,C0161,DNI,16541576,Julia,Aguirre Ramos,julia161@correo.com,927872515,Breña,Prepago,2026-02-11,957128079
162,C0162,DNI,52322237,Paola,Bautista Huamán,paola162@correo.com,953839460,Miraflores,Postpago,2026-04-04,946596987
163,C0163,DNI,36395369,Rosa,Aguirre Romero,rosa163@correo.com,927966677,,Hogar,2026-05-03,957729797
164,C0164,DNI,72811022,Fernando,Aguirre Aguirre,fernando164@correo.com,925432147,Ate,Empresa,2026-05-09,940040668
165,C0165,CE,49258855,Sofía,Cruz Zevallos,sofía165@correo.com,986073276,San Borja,Prepago,2026-01-14,948708646
166,C0166,CE,52573988,Claudia,Chávez Palomino,claudia166@correo.com,921659316,San Borja,Postpago,2026-02-07,975219409
167,C0167,CE,13906951,Bruno,Castillo Ponce,bruno167@correo.com,925063777,Los Olivos,Hogar,2026-01-03,947901215
168,C0168,RUC,76500294,Fernando,Cárdenas Cornejo,fernando168@correo.com,968095357,San Miguel,Empresa,2026-01-14,918568433
169,C0169,DNI,58597150,Natalia,Cornejo Espinoza,natalia169@correo.com,958013896,Comas,Prepago,2026-01-09,971856932
170,C0170,CE,74101277,Iván,Romero Flores,iván170@correo.com,998010411,Comas,Postpago,2026-05-03,973401595
171,C0171,DNI,55143193,Verónica,Romero Quispe,,967053172,Ate,Hogar,2026-03-05,997593760
172,C0172,DNI,23508124,Ricardo,Rojas Ríos,ricardo172@correo.com,943709651,Villa El Salvador,Empresa,2026-05-22,934012930
173,C0173,CE,47703921,Julia,Espinoza Bautista,julia173@correo.com,911167223,Surco,Prepago,2026-02-21,954503413
174,C0174,RUC,69063580,Álvaro,Flores Lévano,,,Villa El Salvador,Postpago,2026-04-14,911827115
175,C0175,RUC,37087010,Luis,Quispe Ríos,luis175@correo.com,913276391,San Juan de Lurigancho,Hogar,2026-01-06,931837157
176,C0176,DNI,61222572,Gabriela,Ponce Gutiérrez,gabriela176@correo.com,940681385,La Molina,Empresa,2026-01-04,941413761
177,C0177,DNI,86298262,Óscar,Rivera Cornejo,óscar177@correo.com,991372813,Chorrillos,Prepago,2026-02-02,998176392
178,C0178,CE,26845926,Carlos,Ramos Salazar,carlos178@correo.com,959760287,Villa El Salvador,Postpago,2026-03-08,944785282
179,C0179,DNI,725596,Raúl,Paredes Castillo,raúl179@correo.com,915556988,Comas,Hogar,2026-02-18,933796035
180,C0180,DNI,97835958,Pamela,Aguirre Cruz,pamela180@correo.com,,La Molina,Empresa,2026-04-03,952380987
181,C0181,DNI,58909679,Verónica,Vargas Cárdenas,verónica181@correo.com,911709424,Breña,Prepago,2026-05-03,958813363
182,C0182,DNI,93280704,Julia,Villanueva Ponce,julia182@correo.com,915277664,Rímac,Postpago,2026-05-09,947567320
183,C0183,DNI,18004866,Bruno,Castillo Chávez,bruno183@correo.com,973681754,Independencia,Hogar,2026-05-27,990619050
184,C0184,DNI,952154,Carmen,Ninaquispe Torres,carmen184@correo.com,916132487,San Miguel,Empresa,2026-04-04,936305571
185,C0185,DNI,68526001,Isabel,Sánchez Chávez,isabel185@correo.com,988208897,Rímac,Prepago,2026-01-19,926074171
186,C0186,RUC,10281450,Daniela,Paredes Rivera,,,Miraflores,Postpago,2026-02-19,976208098
187,C0187,DNI,790343,Carlos,Zevallos Díaz,carlos187@correo.com,951245898,San Juan de Lurigancho,Hogar,2026-01-01,920853799
188,C0188,DNI,17570114,Daniela,Rivera Romero,daniela188@correo.com,942296008,Breña,Empresa,2026-01-06,931252800
189,C0189,DNI,58905921,Diego,Cornejo Ninaquispe,diego189@correo.com,968464468,San Juan de Lurigancho,Prepago,2026-02-15,965195145
190,C0190,DNI,81485756,Miguel,Mendoza Rivera,miguel190@correo.com,914973418,Breña,Postpago,2026-02-04,956714123
191,C0191,RUC,93951681,Elena,Bautista Quispe,elena191@correo.com,993577076,Los Olivos,Hogar,2026-02-03,940635808
192,C0192,CE,90924186,Diego,Mendoza Aguirre,diego192@correo.com,965411837,Ate,Empresa,2026-05-16,925920851
193,C0193,RUC,43923755,Iván,Bautista Cruz,iván193@correo.com,921501631,Callao,Prepago,2026-03-26,982145017
194,C0194,CE,18227853,Diego,Espinoza Palomino,diego194@correo.com,956861445,Villa El Salvador,Postpago,2026-05-05,988874060
195,C0195,CE,79944344,Daniela,Cruz Ponce,daniela195@correo.com,988802121,San Juan de Lurigancho,Hogar,2026-05-24,942562126
196,C0196,CE,52215689,Miguel,Cárdenas Flores,miguel196@correo.com,940472646,Comas,Empresa,2026-02-05,988076089
197,C0197,DNI,84127846,Renzo,Castillo Gutiérrez,renzo197@correo.com,917721495,Chorrillos,Prepago,2026-01-15,955793396
198,C0198,DNI,33320509,Carmen,Villanueva Quispe,carmen198@correo.com,951633729,Comas,Postpago,2026-01-09,927941203
199,C0199,DNI,83059724,Sofía,Palomino Torres,sofía199@correo.com,915891752,Ate,Hogar,2026-03-22,997578282
200,C0200,RUC,82228083,Isabel,Torres Mendoza,,956361682,Miraflores,Empresa,2026-04-04,966525341
201,C0201,DNI,44534468,Pamela,Palomino Salazar,pamela93@correo.com,,Villa El Salvador,Prepago,2026-01-09,994610683
202,C0202,DNI,62460686,Álvaro,Ninaquispe Vargas,álvaro137@correo.com,924934547,Villa El Salvador,Postpago,2026-05-27,920268391
203,C0203,DNI,20581425,Jorge,Chávez Ponce,jorge17@correo.com,987230603,Independencia,Hogar,2026-02-03,939013684
204,C0204,DNI,51593883,Melissa,Vargas Huamán,melissa3@correo.com,915999502,San Juan de Lurigancho,Empresa,2026-04-24,950474387
205,C0205,DNI,19089578,Paola,Castillo Cruz,paola105@correo.com,976497373,Lince,Prepago,2026-05-20,948848031
206,C0206,DNI,92769200,Fernando,Cruz Quispe,fernando37@correo.com,965097278,Villa El Salvador,Postpago,2026-04-13,942839344
207,C0207,DNI,66781648,Patricia,Rivera Rojas,patricia81@correo.com,969616392,,Hogar,2026-05-04,910643155
208,C0208,DNI,16332418,Julia,Salazar Rivera,julia144@correo.com,975431693,Comas,Empresa,2026-01-09,922151425
